CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
670;25030;760;6050;1070;2880;;;;;;;
490;25360;350;6690;1050;2890;;;;;;;
470;25030;1110;10320;1040;2790;;;;;;;
300;25040;330;7420;1020;2700;;;;;;;
740;25320;830;7290;1050;2730;;;;;;;
460;25270;110;6180;910;2350;;;;;;;
450;25160;320;14820;970;2880;;;;;;;
420;25000;340;23270;1060;2780;;;;;;;
780;25050;470;10340;1040;2420;;;;;;;
700;26980;710;9970;1020;2600;;;;;;;
170;25330;560;9350;1060;2800;;;;;;;
510;25130;650;12080;1060;2740;;;;;;;
580;25020;590;13520;1140;2820;;;;;;;
1060;24980;1020;9560;1120;2760;;;;;;;
530;25010;70;10010;1020;2520;;;;;;;
1100;24890;580;12100;1470;2870;;;;;;;
450;25340;90;6820;1040;2810;;;;;;;
870;24930;140;12070;1130;2780;;;;;;;
2310;25080;160;4850;1050;2810;;;;;;;
440;25060;500;6460;1060;2980;;;;;;;
740;25190;80;12490;1030;2910;;;;;;;
950;25030;280;12640;1200;2810;;;;;;;
1020;24910;90;11860;1010;2840;;;;;;;
340;25970;190;10450;1130;2720;;;;;;;
1020;25020;660;11570;1070;2990;;;;;;;
350;25370;190;13120;1050;2700;;;;;;;
640;27110;1060;15370;1100;3170;;;;;;;
370;24880;330;13330;1030;2850;;;;;;;
180;26010;410;14180;1040;3460;;;;;;;
890;24940;690;8590;1030;4060;;;;;;;
600;24970;670;5870;1060;3750;;;;;;;
470;24950;1880;11700;1040;5890;;;;;;;
590;24930;510;9340;1070;3430;;;;;;;
600;24740;390;8980;1040;3410;;;;;;;
290;24580;1280;5540;1130;2980;;;;;;;
900;25170;660;5280;1030;2520;;;;;;;
400;24880;620;8600;1000;2900;;;;;;;
330;24640;160;18230;1110;2790;;;;;;;
500;24830;70;10710;1070;2920;;;;;;;
400;24960;760;7230;1080;2950;;;;;;;
670;24910;250;7320;1070;3290;;;;;;;
580;25210;490;6810;1020;3130;;;;;;;
570;24700;440;11570;1080;3130;;;;;;;
470;25030;370;12780;1130;2760;;;;;;;
900;24530;750;11510;1030;3290;;;;;;;
660;24740;450;7850;1040;3600;;;;;;;
430;24850;320;6570;1000;3190;;;;;;;
600;24580;470;9050;1040;3070;;;;;;;
930;26780;410;10790;1170;2500;;;;;;;
810;24950;960;8600;1040;3430;;;;;;;
270;24900;800;8610;1050;2960;;;;;;;
240;24920;120;12220;1060;2940;;;;;;;
510;24870;60;9000;1050;3010;;;;;;;
420;24770;620;14440;1040;2910;;;;;;;
560;24880;200;14000;1030;2720;;;;;;;
720;25220;900;16500;1120;2810;;;;;;;
340;25200;490;13340;1220;2960;;;;;;;
440;25040;530;25130;1110;3070;;;;;;;
580;24750;740;16840;950;2780;;;;;;;
370;24830;530;7750;1030;2290;;;;;;;
490;24800;1140;14180;1050;2270;;;;;;;
480;25130;430;9260;1100;2430;;;;;;;
560;24690;660;12710;940;2350;;;;;;;
1070;25230;1730;9890;920;2450;;;;;;;
640;25010;1680;7220;1080;2600;;;;;;;
690;25200;5600;10020;1030;2490;;;;;;;
450;25200;520;7570;1470;3230;;;;;;;
920;24880;580;11820;1470;3170;;;;;;;
500;25040;1560;13780;1180;2590;;;;;;;
440;24930;1570;15370;1380;3110;;;;;;;
830;24950;2230;9790;1470;2920;;;;;;;
260;24910;1890;16620;1290;2950;;;;;;;
490;27110;530;8720;1250;2890;;;;;;;
1000;25160;710;7600;1050;3190;;;;;;;
370;25860;510;8860;990;2740;;;;;;;
600;25140;420;11330;960;3000;;;;;;;
450;24860;600;8180;1080;2970;;;;;;;
270;24860;490;7920;1000;2700;;;;;;;
500;25320;860;12510;940;2930;;;;;;;
290;24840;560;13480;1100;3140;;;;;;;
360;24850;610;7870;910;3170;;;;;;;
450;24720;970;9740;920;3320;;;;;;;
120;25030;450;6860;920;3080;;;;;;;
470;24700;1220;11720;910;3390;;;;;;;
700;24880;470;13790;970;2720;;;;;;;
1240;24730;570;17140;1160;2620;;;;;;;
450;25210;1490;6770;1040;3310;;;;;;;
690;26560;270;12900;1030;3280;;;;;;;
510;24960;290;11110;1160;3070;;;;;;;
900;25080;570;6530;1030;2930;;;;;;;
790;27520;20;12810;1070;3050;;;;;;;
170;26330;1240;14200;1110;2810;;;;;;;
410;24920;590;13060;1010;2820;;;;;;;
390;24970;1010;10420;960;3190;;;;;;;
790;25480;1220;9160;940;3130;;;;;;;
530;25210;490;6530;870;2860;;;;;;;
620;25200;700;6750;890;2860;;;;;;;
600;25110;2380;7920;950;3050;;;;;;;
310;25100;380;9960;910;2580;;;;;;;
610;25340;1090;21750;920;2780;;;;;;;
250;24900;450;15200;900;2640;;;;;;;
680;25160;960;10470;1080;3200;;;;;;;
540;25010;90;11520;1030;2740;;;;;;;
560;25110;150;8970;1050;3120;;;;;;;
880;25010;1140;7900;1150;2970;;;;;;;
380;25140;240;14240;1620;2910;;;;;;;
570;25010;440;10430;1200;2950;;;;;;;
620;25120;120;11800;940;2860;;;;;;;
730;25190;100;13270;940;2680;;;;;;;
960;24920;420;14330;960;2690;;;;;;;
720;25290;270;13770;940;2220;;;;;;;
720;25700;80;10040;1060;2520;;;;;;;
560;24980;340;8960;960;2760;;;;;;;
450;25200;110;5050;1140;2650;;;;;;;
450;25340;120;6530;1350;3160;;;;;;;
770;25130;130;4800;1210;2710;;;;;;;
510;25260;90;5400;1180;2940;;;;;;;
570;25290;760;5980;1150;2820;;;;;;;
820;27040;60;5780;950;3020;;;;;;;
610;25510;470;6750;930;2360;;;;;;;
1020;26320;590;9140;930;2600;;;;;;;
440;25030;210;9220;940;3020;;;;;;;
750;25190;120;9710;1030;2730;;;;;;;
500;25410;140;8050;1030;2430;;;;;;;
760;25190;120;17510;1030;2900;;;;;;;
350;24930;140;12820;1030;2850;;;;;;;
1240;27170;100;14230;1010;2610;;;;;;;
520;25110;350;13130;880;3080;;;;;;;
600;25270;1420;10830;1120;3270;;;;;;;
840;25290;720;12430;1040;2890;;;;;;;
720;25180;1890;15780;1010;3180;;;;;;;
280;25060;470;9270;1060;2580;;;;;;;
620;25140;550;10930;1040;2350;;;;;;;
780;25320;620;8260;950;2630;;;;;;;
790;25510;360;8090;1330;2990;;;;;;;
800;25750;980;10850;930;2850;;;;;;;
680;25640;240;12530;960;3770;;;;;;;
390;25220;100;8970;1240;2680;;;;;;;
500;25540;690;12950;1020;2800;;;;;;;
820;25540;50;11130;1920;3040;;;;;;;
400;26620;320;14140;1030;2790;;;;;;;
510;25500;620;13080;1050;3140;;;;;;;
690;25280;2010;14660;1040;2670;;;;;;;
400;25480;510;15810;1040;2760;;;;;;;
780;25060;1030;8260;1040;2690;;;;;;;
640;25200;130;7830;1060;2810;;;;;;;
270;25170;470;5780;1050;2830;;;;;;;
910;25340;200;11370;1030;2640;;;;;;;
260;25290;770;7670;1050;2780;;;;;;;
850;25090;740;12680;1120;2730;;;;;;;
570;25030;530;11260;1090;2880;;;;;;;
690;25290;570;9470;1050;2850;;;;;;;
380;25570;590;9530;1070;2800;;;;;;;
400;25090;680;7940;1670;2790;;;;;;;
190;24900;860;7730;2880;3040;;;;;;;
650;25720;790;10200;1420;2830;;;;;;;
940;25550;1380;6890;1200;2520;;;;;;;
460;25350;610;8440;1050;2800;;;;;;;
390;25310;550;13970;1060;2680;;;;;;;
510;25040;670;14480;1140;2820;;;;;;;
390;25270;1560;15160;1020;3020;;;;;;;
610;25170;560;15100;1040;2950;;;;;;;
530;25690;490;8600;1030;2780;;;;;;;
490;25790;500;14640;990;2880;;;;;;;
630;30120;180;13230;1010;3210;;;;;;;
310;25390;930;13160;1050;2620;;;;;;;
380;26250;430;9290;1080;2650;;;;;;;
420;25360;720;8440;1210;2820;;;;;;;
230;25340;710;9570;1030;2630;;;;;;;
290;25510;1740;13550;990;2660;;;;;;;
470;25880;250;10290;900;2870;;;;;;;
680;25160;2130;8910;990;2670;;;;;;;
600;25120;440;9970;1220;2860;;;;;;;
560;25070;820;9780;1050;2530;;;;;;;
560;25120;980;12040;1030;2370;;;;;;;
700;25640;380;10970;1040;2390;;;;;;;
510;25670;840;14450;1070;2730;;;;;;;
660;25380;480;17110;1100;2720;;;;;;;
660;25250;1280;20370;1060;2670;;;;;;;
900;25250;220;7800;1040;2710;;;;;;;
410;25910;560;8210;1020;2970;;;;;;;
560;25290;240;18930;940;2780;;;;;;;
460;25030;900;15920;940;2910;;;;;;;
390;25570;490;14240;1090;2670;;;;;;;
950;25570;970;15080;920;2890;;;;;;;
600;25540;1170;18150;1230;2410;;;;;;;
660;26460;1490;14050;1080;2380;;;;;;;
300;25390;1710;14060;1040;2460;;;;;;;
690;25370;390;10490;1080;2860;;;;;;;
690;25240;800;9300;1050;2850;;;;;;;
570;25540;330;17640;1310;2650;;;;;;;
590;25590;140;14580;1020;3290;;;;;;;
260;25320;470;7530;1030;2910;;;;;;;
1030;25450;200;7390;1050;2650;;;;;;;
400;25300;200;14610;1030;2960;;;;;;;
650;25780;460;11890;1050;3120;;;;;;;
190;25460;1390;11820;1030;2640;;;;;;;
710;25220;530;14250;970;2900;;;;;;;
660;25670;310;15060;910;3020;;;;;;;
1010;25220;960;8900;1170;2810;;;;;;;
530;25330;120;9800;950;2990;;;;;;;
630;25100;390;13090;1160;3850;;;;;;;
510;26070;850;14970;990;2880;;;;;;;
270;27050;270;13090;1050;2900;;;;;;;
630;25080;970;12660;1080;3100;;;;;;;
750;25490;500;7730;1040;3060;;;;;;;
650;25830;420;7720;1060;2700;;;;;;;
660;25370;400;14070;1080;2710;;;;;;;
670;25390;850;16030;1050;2790;;;;;;;
380;26990;480;14390;1030;2670;;;;;;;
860;26500;910;15570;990;2850;;;;;;;
470;25930;1360;16250;1120;2980;;;;;;;
580;25830;1310;15800;1040;3140;;;;;;;
540;25310;640;10770;1030;2550;;;;;;;
720;25620;580;7730;1030;2670;;;;;;;
420;25550;1510;8750;1110;3390;;;;;;;
840;25310;490;9450;1040;2780;;;;;;;
480;25410;940;14590;1050;2830;;;;;;;
440;25500;410;10350;1120;2860;;;;;;;
450;25580;430;6550;1040;2900;;;;;;;
470;24890;1210;7300;1040;2910;;;;;;;
450;25490;960;10620;1040;2950;;;;;;;
630;25340;760;13740;1040;3140;;;;;;;
510;25340;1230;13960;1050;2540;;;;;;;
540;25360;70;10140;960;2960;;;;;;;
960;25430;180;8110;1010;2730;;;;;;;
550;25530;440;14830;1000;3040;;;;;;;
580;25480;2040;14070;1100;2810;;;;;;;
600;25380;830;13410;1030;2960;;;;;;;
400;25460;1020;13960;1030;2710;;;;;;;
530;25090;510;16830;1050;2530;;;;;;;
570;25560;790;14670;1040;2770;;;;;;;
440;25330;600;13790;1100;2880;;;;;;;
380;25290;1830;11120;1030;3160;;;;;;;
770;25720;400;15180;1130;3030;;;;;;;
650;25200;1790;11750;1020;2810;;;;;;;
570;25090;370;8510;1040;2920;;;;;;;
650;25490;50;5900;1160;2920;;;;;;;
750;25210;260;7350;1070;2720;;;;;;;
480;25230;1070;10560;1090;3190;;;;;;;
510;25040;420;10900;1070;2620;;;;;;;
510;27130;860;7170;1030;2720;;;;;;;
690;25430;1010;10370;1040;2920;;;;;;;
630;25200;550;6370;1060;2820;;;;;;;
570;25350;960;12160;960;2600;;;;;;;
1000;25270;550;16540;970;2850;;;;;;;
500;25470;1480;11670;860;3200;;;;;;;
700;25230;290;7460;950;2710;;;;;;;
850;25210;120;10050;960;2770;;;;;;;
510;25080;650;9780;980;3380;;;;;;;
1230;26840;80;7820;930;3000;;;;;;;
730;25700;540;10460;1190;2790;;;;;;;
540;25570;310;9440;1000;2610;;;;;;;
280;25530;490;6640;950;2670;;;;;;;
540;25790;480;7040;890;2810;;;;;;;
1230;28980;1680;7200;950;2970;;;;;;;
1020;25900;740;13420;940;2800;;;;;;;
730;26250;720;9380;950;2750;;;;;;;
430;25160;370;10450;960;3390;;;;;;;
530;25330;590;13920;980;2810;;;;;;;
180;25430;430;12330;950;2930;;;;;;;
2400;25590;460;13250;970;3100;;;;;;;
360;25290;730;15060;1060;2910;;;;;;;
1310;25520;1980;9070;1000;2780;;;;;;;
980;25280;370;13580;920;2910;;;;;;;
200;25420;520;15750;940;3530;;;;;;;
220;25070;510;11960;960;2640;;;;;;;
510;25320;430;8520;970;2630;;;;;;;
700;25110;40;6950;960;2810;;;;;;;
590;25600;130;49950;980;2940;;;;;;;
1330;25340;90;10360;870;2970;;;;;;;
1030;25430;190;15040;940;3170;;;;;;;
280;25540;1460;12010;980;2620;;;;;;;
20;25410;490;17490;1050;3070;;;;;;;
470;25820;430;13490;1030;3450;;;;;;;
510;24920;1400;12960;1090;2920;;;;;;;
490;25250;1420;11200;1060;3110;;;;;;;
650;25390;520;9540;1110;2700;;;;;;;
590;25590;490;15860;1050;2750;;;;;;;
690;27670;680;14440;1030;2750;;;;;;;
890;25530;400;12760;1040;2790;;;;;;;
390;25430;120;11510;1020;3090;;;;;;;
730;25220;190;16710;1040;3330;;;;;;;
730;25250;240;13760;940;2840;;;;;;;
430;25660;150;12640;940;2920;;;;;;;
700;25560;210;10030;1240;2740;;;;;;;
740;25380;200;15830;1030;2980;;;;;;;
800;25290;80;15750;1040;2540;;;;;;;
550;24990;440;13040;1070;3130;;;;;;;
540;25240;1540;9090;1100;2960;;;;;;;
660;25260;810;14470;1060;2860;;;;;;;
550;25490;100;9700;1060;2780;;;;;;;
360;25420;80;10280;1060;2780;;;;;;;
460;25240;330;9320;1080;3030;;;;;;;
460;25630;260;7120;1040;2570;;;;;;;
670;25400;240;20670;1050;2680;;;;;;;
760;26060;400;24670;1030;2870;;;;;;;
1060;25240;750;8520;1010;2860;;;;;;;
510;25240;690;11230;1040;3070;;;;;;;
470;25380;90;15110;1090;3170;;;;;;;
460;25600;130;13610;1070;2860;;;;;;;
340;27580;770;12580;1030;2720;;;;;;;
260;25300;190;12690;1020;2880;;;;;;;
540;26220;420;15640;1050;2760;;;;;;;
660;25420;810;13240;1070;2970;;;;;;;
790;25330;100;17770;1140;2660;;;;;;;
130;25600;980;8360;1060;2580;;;;;;;
380;25550;90;12600;1170;2750;;;;;;;
690;25440;490;14740;1010;2740;;;;;;;
700;25450;450;17110;1040;3210;;;;;;;
1480;25350;760;9490;1060;2860;;;;;;;
170;25350;900;11220;990;2460;;;;;;;
850;25180;1210;12100;1000;2900;;;;;;;
190;25620;390;13290;1040;2800;;;;;;;
2310;25200;600;18880;1040;2680;;;;;;;
620;25200;530;15890;1020;2540;;;;;;;
640;25380;240;8080;1070;2830;;;;;;;
650;25490;110;9530;920;2540;;;;;;;
1360;27820;530;8680;1180;2770;;;;;;;
150;25370;60;11830;1040;3180;;;;;;;
470;25260;390;8950;1040;2740;;;;;;;
1970;25860;350;17810;1230;2910;;;;;;;
940;25210;80;9220;1060;2810;;;;;;;
340;25320;170;9240;1040;3450;;;;;;;
290;25390;2140;8770;1060;3130;;;;;;;
660;25390;300;16100;1040;2790;;;;;;;
620;25270;470;9230;1040;2710;;;;;;;
620;25130;710;9770;1050;2730;;;;;;;
790;25090;140;8780;1030;2630;;;;;;;
860;25330;470;12940;1040;2730;;;;;;;
630;25480;140;15220;990;2880;;;;;;;
400;25480;90;14320;900;3070;;;;;;;
400;25310;500;13060;1140;2800;;;;;;;
620;25710;130;14550;1080;2690;;;;;;;
