CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
760;25510;880;10960;920;2810;;;;;;;
660;25310;480;8190;940;2830;;;;;;;
270;26220;450;9650;990;2900;;;;;;;
890;25140;1320;13940;900;2950;;;;;;;
770;25230;320;6420;840;2760;;;;;;;
1130;25310;820;8140;1070;2790;;;;;;;
530;25630;1770;10190;1040;2910;;;;;;;
530;25020;510;10810;1050;2690;;;;;;;
860;25250;1020;10430;1030;2840;;;;;;;
600;25170;620;14570;1030;3650;;;;;;;
580;25440;760;18470;1100;2790;;;;;;;
1570;27430;1070;12720;1030;2750;;;;;;;
1540;24810;1380;9580;1090;3090;;;;;;;
1220;25140;490;5500;1040;2750;;;;;;;
630;25020;560;6840;1060;2780;;;;;;;
520;24920;670;9680;1070;3380;;;;;;;
1380;24890;1450;14400;1020;2940;;;;;;;
630;25100;350;10070;940;2600;;;;;;;
1480;25180;770;8820;980;2400;;;;;;;
1400;26070;650;7520;1040;2700;;;;;;;
1500;25230;500;7880;1040;2720;;;;;;;
1320;25360;440;8840;1050;2630;;;;;;;
720;25260;820;7520;1020;2550;;;;;;;
610;25890;420;13350;950;2790;;;;;;;
450;25500;690;15710;1060;2980;;;;;;;
710;25130;510;17060;1040;2570;;;;;;;
1040;25140;260;15200;1100;2760;;;;;;;
290;24970;1660;8970;1050;2930;;;;;;;
600;27120;180;13240;1040;2660;;;;;;;
1440;25430;1130;5220;1040;2540;;;;;;;
1150;26130;120;49410;1060;2700;;;;;;;
1610;27490;590;76990;960;2430;;;;;;;
1210;25080;950;18780;1030;2370;;;;;;;
850;25390;570;14340;1060;2400;;;;;;;
310;25090;1070;20180;1030;3080;;;;;;;
470;25130;1060;21070;1060;2890;;;;;;;
500;25150;400;8100;1120;2830;;;;;;;
1610;25220;810;12150;1020;3360;;;;;;;
520;25400;890;11910;1060;2860;;;;;;;
2930;25070;460;5220;1020;2970;;;;;;;
510;25060;930;5590;1120;2970;;;;;;;
1040;25460;430;10250;1040;3000;;;;;;;
560;25270;800;5080;920;2640;;;;;;;
940;25470;1010;6550;920;2500;;;;;;;
