CouchBase,Memcached,Mongo,Orient,Redis,Riak
630,24980,1250,8670,990,3060,
590,24770,830,8570,1050,2790,
340,24650,820,6000,1080,2670,
680,24920,200,6470,1000,2730,
880,25090,590,8310,1050,2830,
620,24920,240,6720,1050,3020,
1390,25150,1210,2580,1030,2710,
780,24960,1020,3820,1280,2650,
920,25050,660,9170,1050,2720,
650,27010,450,9530,1060,2710,
560,25840,660,8460,1010,2840,
240,24890,1130,6860,1060,2800,
1020,24910,280,5490,1050,3050,
590,24910,430,8140,1020,2950,
540,25020,900,8780,1040,2730,
790,25040,1320,8120,1250,2830,
720,25280,480,8460,1020,2810,
830,24910,870,8170,920,2430,
720,24800,520,8050,910,2680,
680,24630,410,8830,850,2310,
1120,24910,760,10770,900,2420,
620,26670,1270,8980,920,2660,
850,25040,890,8290,920,2740,
800,24860,910,6590,940,2500,
280,24810,260,8350,960,2870,
570,24900,890,8030,950,3070,
820,24660,350,8890,1020,3000,
1100,25070,210,8230,1040,2850,
440,25020,2470,7290,1060,2490,
730,25280,1930,3030,1020,2910,
570,25020,2330,3060,1030,3220,
570,25040,2700,3790,1030,3010,
740,24670,1750,2560,1090,2760,
480,24900,200,2880,1070,3010,
410,25340,590,2680,1090,2880,
440,24870,990,6000,1060,2550,
730,25090,580,8910,1050,2660,
590,24870,760,8650,1160,2930,
520,25330,1600,4740,1270,2750,
440,25130,630,5970,1030,3110,
390,24570,880,9030,1020,2860,
600,24930,1190,10140,1050,2730,
630,24790,830,9580,1080,2460,
440,25130,800,7480,1120,2780,
530,24980,870,8010,1120,2810,
350,25070,990,8500,1060,2910,
560,24850,650,8410,1020,3450,
660,25330,670,8250,1080,2920,
1440,24830,1140,8320,1040,2620,
710,24970,520,8560,1050,2880,
940,24850,2410,8560,1080,2810,
460,24600,3200,9210,1010,2900,
370,25080,1470,12910,920,2580,
1860,24870,1010,5760,940,3200,
290,25290,300,6730,880,2970,
230,26100,540,8130,870,2820,
600,26090,910,6960,890,3120,
470,26330,230,11770,920,2970,
700,24840,1130,8870,940,2890,
190,24760,910,7600,1000,2530,
340,26340,670,3080,1000,3340,
570,25610,800,2790,990,3390,
550,26010,740,2710,1010,3590,
800,25550,1210,9210,1050,2730,
500,25310,430,9830,1060,2850,
590,24680,820,9950,1050,2780,
730,25170,190,9370,1000,2220,
200,24600,1050,2850,1010,3150,
110,24860,1030,2720,1030,4010,
200,24990,1510,5440,1030,2930,
250,24890,4180,9040,1070,3070,
460,24610,3100,8960,1090,5280,
360,24820,2680,8060,990,3250,
500,25150,2520,10330,1050,3010,
640,25310,1960,7590,1070,2730,
930,24790,290,8140,1050,2590,
780,25220,1180,8900,930,2740,
710,24840,1260,10060,950,2910,
540,24790,200,11370,940,3130,
590,24780,830,7520,990,2860,
970,25090,930,6750,870,3100,
1020,25310,370,8570,980,2540,
650,24980,1440,9000,1100,2960,
640,24980,650,9780,1060,2710,
660,24610,830,6980,1030,2880,
460,24730,590,2900,1010,2770,
510,24790,1290,2740,1000,2850,
390,25060,1450,2600,930,2700,
620,24770,1800,2680,930,3220,
930,25150,1110,6940,960,2830,
630,25080,1270,8840,910,2790,
720,24980,910,10060,950,2770,
440,25030,720,8590,1130,2390,
550,25150,2040,9750,940,2320,
560,24880,1000,9630,1100,2570,
1010,24660,1560,10190,1050,2950,
