CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
600;23450;710;11090;1000;2580;;;;;;;
770;23350;460;7230;950;2960;;;;;;;
610;23100;540;8240;940;3290;;;;;;;
430;22970;600;10920;1020;3070;;;;;;;
540;23100;370;10600;1010;2910;;;;;;;
580;23050;490;9890;1030;2720;;;;;;;
750;23050;820;6450;1010;2540;;;;;;;
170;23190;130;20830;1020;2320;;;;;;;
930;23390;170;18390;930;2430;;;;;;;
460;23250;60;3800;1000;2660;;;;;;;
640;23150;1140;10550;1010;2370;;;;;;;
520;22890;100;17140;1020;2570;;;;;;;
880;22820;140;9560;1480;2680;;;;;;;
670;23130;90;12490;1010;2550;;;;;;;
480;22780;400;9930;1060;3060;;;;;;;
840;23240;100;12290;1070;2540;;;;;;;
600;23070;180;10920;950;2480;;;;;;;
300;22950;70;9800;1020;2530;;;;;;;
470;23080;510;15070;1010;2520;;;;;;;
680;23430;1100;11240;1000;2530;;;;;;;
2400;23190;80;18270;1000;2510;;;;;;;
470;22880;730;10050;1020;2730;;;;;;;
430;23110;200;10610;1010;2750;;;;;;;
260;24200;300;5680;1020;2640;;;;;;;
540;23740;510;5590;1000;2480;;;;;;;
220;23110;710;10790;1030;2520;;;;;;;
460;22910;660;11500;1010;2710;;;;;;;
460;23070;160;7820;1200;2670;;;;;;;
270;22890;540;12990;1060;2710;;;;;;;
160;22940;80;6730;1080;2650;;;;;;;
500;23020;40;10470;1030;2810;;;;;;;
520;23800;550;11660;1020;2600;;;;;;;
650;23320;110;12760;1020;2770;;;;;;;
450;23260;550;7760;1000;2730;;;;;;;
430;23890;200;10180;1050;3010;;;;;;;
200;23410;300;10820;1010;2500;;;;;;;
520;23170;490;12070;1030;2600;;;;;;;
600;24440;280;8420;1020;2840;;;;;;;
590;23310;40;7210;1020;2660;;;;;;;
860;23170;30;9310;1000;2510;;;;;;;
380;22830;770;8410;1040;3080;;;;;;;
770;23260;230;8960;1000;2790;;;;;;;
650;23050;810;11500;980;2550;;;;;;;
410;23030;40;13950;1030;2700;;;;;;;
460;23440;970;12250;1040;2620;;;;;;;
380;23190;230;5890;1010;2950;;;;;;;
280;23140;480;6990;1030;2620;;;;;;;
750;22980;720;10530;1050;3120;;;;;;;
740;22990;110;6930;1020;2680;;;;;;;
530;23190;680;6800;1020;2810;;;;;;;
690;23270;60;7770;1020;2950;;;;;;;
950;23120;80;7200;1030;2480;;;;;;;
730;22970;740;10900;1000;2870;;;;;;;
800;23160;610;10320;1020;2880;;;;;;;
750;23140;830;5740;1130;2700;;;;;;;
850;23240;1290;8160;1100;2520;;;;;;;
670;23130;910;10780;950;2660;;;;;;;
920;23050;590;11140;940;2700;;;;;;;
1740;22910;410;10400;1000;2460;;;;;;;
20;23310;620;13720;1010;3000;;;;;;;
590;23250;1030;8260;1050;2470;;;;;;;
780;23070;70;8140;1020;2470;;;;;;;
530;23040;90;7950;1010;2540;;;;;;;
2200;23220;920;8800;1010;2740;;;;;;;
800;22860;60;9760;1020;2700;;;;;;;
490;22990;340;11110;1000;3000;;;;;;;
300;22820;140;12760;970;2470;;;;;;;
950;23100;310;10620;960;2210;;;;;;;
670;23110;370;10720;920;2580;;;;;;;
280;22920;50;8890;970;2400;;;;;;;
780;23190;640;11720;1030;2190;;;;;;;
920;23220;60;5770;1040;2240;;;;;;;
1260;23320;360;5490;1030;2540;;;;;;;
690;24400;580;6910;1040;2600;;;;;;;
600;23910;410;7630;1020;2700;;;;;;;
720;23070;930;8130;1010;2700;;;;;;;
780;23280;450;11520;1020;2440;;;;;;;
420;23320;1310;10380;1150;2590;;;;;;;
440;23050;340;12030;1010;2620;;;;;;;
660;24510;1110;7110;1010;2720;;;;;;;
490;23090;230;13060;1020;2660;;;;;;;
1130;23070;430;9920;1020;2620;;;;;;;
690;23040;90;5970;1030;2550;;;;;;;
