CouchBase,Memcached,Mongo,Orient,Redis,Riak
790,50,2750,2080,40,28120,
530,40,4920,3330,40,26310,
800,10,3210,1830,30,23230,
570,0,3670,1890,20,25550,
390,30,3670,1830,30,26330,
590,10,4220,2730,40,26390,
630,0,2980,1920,20,26440,
380,10,3380,1750,120,29390,
350,10,2460,1400,70,30980,
440,0,2650,5050,30,25300,
580,40,4360,2030,30,28310,
330,20,4840,2920,20,25600,
410,10,2540,3710,20,28490,
340,0,2660,1880,110,24620,
550,0,2970,2100,50,30760,
490,50,2500,2250,70,25620,
610,10,3220,2420,20,24350,
430,30,2640,3640,30,27880,
470,10,2590,2440,40,24880,
540,10,3540,1730,80,26040,
560,60,4990,1710,70,28940,
410,10,4190,4540,10,30500,
480,10,2730,2450,70,27530,
380,10,3810,2880,100,27150,
370,10,4650,1970,80,31550,
390,30,2580,1600,30,27790,
380,30,4550,3080,100,25980,
590,10,3310,1970,90,28180,
460,10,2910,2220,10,27580,
660,10,3750,2320,70,24770,
650,50,3400,1810,60,29500,
420,0,3570,2730,30,24750,
420,10,4590,1950,20,26980,
640,20,3540,1590,10,25830,
530,10,3510,2050,90,27010,
490,10,2900,1920,30,27550,
440,0,3170,2160,20,23520,
340,30,3610,2020,20,26780,
460,20,1890,2130,20,26470,
440,0,3270,1690,30,23760,
520,20,4640,1710,50,25100,
400,20,2410,1670,30,30370,
420,10,3870,1750,40,27260,
490,0,2570,1310,40,27140,
600,0,2270,4990,170,24170,
600,10,2200,1890,80,24380,
490,0,2170,1810,30,24450,
580,10,3000,1750,30,28660,
870,20,2950,2020,40,23750,
860,0,2760,2060,60,27560,
870,10,3840,2130,10,25480,
750,40,2300,3160,10,26960,
1490,30,3290,2840,90,27560,
1070,10,1640,1900,190,30730,
1080,20,3630,2030,50,31130,
1250,10,2380,1960,50,26570,
820,0,5070,1720,30,27900,
920,20,7090,1490,130,30310,
760,30,8280,1700,30,24540,
340,10,8090,2390,70,27260,
810,20,9550,1750,80,25390,
600,0,11230,1850,60,27280,
370,20,9370,1900,30,26770,
800,0,11370,1710,70,27410,
970,10,8730,1540,10,32260,
800,40,8960,1580,70,24820,
880,40,13410,2260,30,26000,
950,10,7530,2600,50,26170,
960,10,5810,2090,10,24510,
1150,0,8690,1690,0,27300,
990,10,8140,2550,60,26570,
1050,0,7370,3070,40,24500,
1130,10,6760,2120,20,24550,
1070,0,8400,1800,20,29590,
910,30,8880,2350,60,33830,
660,0,6240,2300,20,26950,
580,10,7410,2180,50,23890,
650,10,7570,2120,40,25490,
330,10,7890,1590,110,26090,
1540,0,6470,2120,0,40500,
500,10,5410,2580,40,27380,
340,30,7320,1580,30,24680,
710,10,8930,1150,30,25840,
430,0,7430,2930,70,24910,
410,10,5560,6190,60,24360,
450,10,7570,2050,90,24040,
470,0,5550,1970,70,27450,
470,0,5430,2100,40,24590,
680,0,5360,1680,60,24660,
650,20,5190,1890,90,24630,
470,20,4540,1420,60,27370,
580,30,4820,2790,10,27310,
260,10,5140,1270,30,23270,
330,0,4940,2760,50,25120,
550,40,4840,1290,20,27310,
510,20,3980,2130,120,34180,
480,20,3920,1420,120,32830,
430,10,5020,1670,60,28100,
550,30,5280,1460,20,38020,
590,10,6190,2500,60,37450,
560,40,4580,1640,50,28430,
460,0,3950,1620,10,32800,
320,0,3730,1100,10,28310,
680,0,3390,1580,30,30290,
390,0,3170,2590,60,27060,
610,20,3820,1620,20,29100,
470,10,4820,1430,40,27730,
510,0,2850,2360,60,30520,
380,20,3880,1980,80,30700,
510,40,3940,1810,40,31790,
420,20,1780,1820,30,33650,
450,20,1670,2130,90,27230,
910,30,2420,2120,80,26680,
870,10,3700,2010,30,24890,
940,70,1700,1640,30,25670,
350,20,3970,1590,80,40170,
420,0,3040,1770,90,27810,
390,0,3340,2310,10,21900,
600,60,2660,1880,20,25620,
470,0,4060,1720,70,24860,
450,10,1730,1930,10,25150,
520,0,3530,2160,50,31390,
410,20,3150,2030,270,28000,
540,40,2540,1490,50,27790,
470,0,1750,2040,50,27160,
390,0,3670,2080,0,26700,
300,10,1770,1800,100,30290,
370,10,2570,2910,110,24540,
420,20,1530,2640,0,25650,
480,0,2720,1760,110,28870,
390,0,3300,1190,10,25930,
570,10,3130,1970,50,27900,
420,0,3170,1610,30,26530,
400,10,3680,1450,110,24660,
400,40,1960,1730,50,26260,
270,0,3040,1060,30,32380,
480,30,1610,1810,50,28430,
670,0,2500,2090,80,33550,
370,0,2050,1840,50,25750,
310,0,2500,1660,40,31290,
540,30,2860,1630,80,28470,
390,20,2050,2360,30,30730,
460,0,2590,1910,40,35270,
370,20,1020,1890,50,28160,
330,30,1800,1720,40,29380,
640,10,1480,4840,20,28710,
310,10,2620,2530,100,27680,
440,0,2990,2040,30,27870,
790,0,1160,1440,80,26090,
450,40,1810,1900,10,25980,
570,0,1950,2400,50,28050,
550,30,2730,2510,70,28240,
370,0,1260,1630,50,33090,
380,10,2010,2170,40,25460,
520,0,750,3760,40,30090,
410,0,1270,4460,70,28270,
410,0,1650,2620,30,24760,
530,20,1320,1910,40,29000,
490,10,1640,1690,60,26480,
490,0,1250,2190,130,25760,
430,20,2380,1860,80,29130,
470,30,2640,2510,40,27350,
330,10,1040,1900,20,26020,
340,0,2180,2090,200,25400,
420,20,3320,2180,40,26850,
350,50,1190,2540,10,27570,
490,0,2520,2690,40,24540,
470,10,2460,2460,60,26610,
570,0,3570,2510,60,30370,
340,10,1870,1810,10,25830,
560,10,2200,1640,20,28730,
430,10,2430,1450,20,27310,
700,10,2080,1530,20,25280,
520,10,2270,2040,70,26790,
500,50,1530,2140,50,26740,
620,30,1940,1990,0,25760,
640,0,2480,1860,30,25900,
660,20,2700,1640,30,30060,
380,10,1690,1280,60,26640,
520,30,1730,1400,40,23750,
500,10,2270,1660,20,25190,
550,0,1570,2380,10,26770,
450,30,1990,2200,40,24470,
370,0,1560,1650,110,27240,
370,10,3000,2320,40,27490,
330,0,1440,1910,70,28170,
320,0,2260,1890,30,28470,
410,50,1190,1610,20,24230,
270,0,3170,1280,0,24990,
440,20,3610,980,0,27060,
480,0,3190,1480,40,27480,
560,30,3140,1470,60,22680,
460,10,2440,1530,120,22950,
400,50,2830,1850,40,24240,
280,10,2360,1790,60,22240,
540,40,1750,3330,140,26160,
560,0,2650,1660,80,25390,
650,30,2840,1650,40,24060,
530,0,1630,2500,40,24590,
480,40,2870,1920,50,27110,
660,20,1640,1530,40,26300,
970,10,3120,1810,80,24580,
820,0,2940,1460,40,28090,
860,0,4670,1690,40,25640,
780,10,2040,1500,20,24490,
920,10,1910,1810,50,24220,
880,0,5690,2710,20,23040,
860,10,2410,3280,30,21310,
420,20,1440,2290,30,26410,
330,0,1600,2540,100,26340,
520,0,1980,2510,20,30180,
430,0,1810,1540,80,25060,
550,10,2860,1090,40,21610,
540,50,2120,1410,100,24520,
450,50,2220,1730,190,23470,
530,10,2040,1150,20,30120,
500,0,1540,1490,140,28160,
510,10,1990,1520,80,21540,
480,50,3630,1310,10,23050,
520,30,2550,1890,60,23890,
480,30,4120,1280,60,24290,
470,20,2370,1480,50,23650,
500,0,2170,2110,20,27590,
450,50,1770,1820,30,34910,
450,10,4910,1470,40,30780,
530,30,2080,1750,30,29180,
450,10,2170,1300,20,32620,
390,0,2210,1470,140,31640,
480,0,1940,1990,120,26720,
530,0,2530,1340,40,30480,
440,40,2600,1780,170,30560,
790,30,1940,1170,20,34050,
320,60,1850,1100,30,31210,
410,60,1880,2220,50,28960,
430,20,1930,3570,60,24780,
390,10,910,2270,40,31610,
540,30,1880,2490,70,31610,
390,20,2660,3490,50,31450,
440,40,1050,1380,50,30520,
510,20,2690,1860,20,32260,
600,30,1910,1910,50,37150,
580,10,2270,2790,30,29260,
580,40,1730,1450,30,27210,
540,30,1180,2530,20,33660,
440,20,2650,1530,0,35420,
380,0,2690,2080,50,29370,
650,0,1880,1990,30,31050,
470,0,3090,2000,80,30750,
670,20,2790,1810,0,28420,
620,10,6240,2940,60,36500,
450,0,3670,1910,20,28880,
470,20,2720,1580,20,30520,
350,40,3080,1180,50,32040,
340,0,2660,1640,50,27700,
460,20,2560,1420,50,29050,
470,10,2170,3010,60,27300,
560,10,1740,2000,10,28660,
530,0,2110,2250,90,27670,
680,20,2200,2130,10,27450,
450,10,3010,1820,60,29820,
510,20,1860,2030,30,24670,
320,10,1010,1550,130,26960,
410,10,1320,1610,60,28700,
620,10,920,2480,10,27050,
440,30,2100,1150,90,28560,
370,0,1850,1400,50,25140,
410,0,1470,1450,10,24590,
450,0,1830,1920,30,27770,
450,30,3630,1960,60,27620,
390,10,2720,1400,0,34610,
440,0,1660,1880,40,28920,
480,0,2100,1420,20,28420,
320,110,2880,1710,20,28940,
420,30,2470,4040,60,24060,
340,10,3130,2420,50,25040,
390,0,2290,1690,50,28030,
310,30,2190,1600,30,23210,
400,10,1980,1520,20,26430,
330,10,1830,2490,70,26610,
540,10,1920,1480,20,21700,
400,20,2320,1210,10,24900,
540,10,1670,1520,150,29680,
460,0,1470,3180,50,25240,
470,10,2830,3570,20,24830,
430,20,3240,6650,40,24690,
540,10,2970,4840,40,24450,
370,20,3170,7250,60,27570,
470,0,1980,7150,60,25690,
390,10,1600,4900,10,23030,
350,20,1360,7110,60,24420,
410,0,2730,4900,50,23530,
560,20,2590,4440,50,26640,
550,50,1670,2170,30,26060,
390,30,2390,2480,100,21050,
610,30,1080,4220,20,24820,
880,20,1470,6260,90,23230,
890,10,2270,4690,60,22620,
840,0,2020,4690,180,25830,
900,0,1770,8650,180,23220,
920,10,940,3860,40,27890,
940,40,2950,3960,120,24100,
890,10,2160,7420,110,22470,
860,10,3100,3650,90,21100,
910,10,2540,3230,10,21950,
810,0,1940,2800,60,24600,
840,0,3620,6560,40,27650,
840,30,3100,10510,30,28030,
860,20,2990,3700,70,24580,
900,10,2420,4610,10,29640,
870,30,2670,3410,40,26530,
850,30,2580,3350,20,31090,
860,10,3470,4980,20,29300,
940,0,1420,2370,10,29110,
920,0,1690,3540,20,26860,
980,10,3490,2820,50,26300,
830,0,1370,2690,120,30300,
