CouchBase;Memcached;Mongo;Orient;Redis;Riak;;CouchBase;Memcached;Mongo;Orient;Redis;Riak
450;40;4890;1590;110;26440;;;;;;;
470;20;4030;1290;90;26900;;;;;;;
470;0;5670;1250;50;30670;;;;;;;
680;20;4460;1940;40;29770;;;;;;;
580;30;4760;1200;50;28240;;;;;;;
370;10;3830;1520;70;28600;;;;;;;
410;10;4490;1880;100;28690;;;;;;;
340;30;4240;1620;50;26340;;;;;;;
570;10;3180;1400;50;29090;;;;;;;
460;0;3170;1520;90;27740;;;;;;;
380;30;4530;1190;80;29040;;;;;;;
390;30;4350;1680;20;27160;;;;;;;
470;10;4240;1880;100;29490;;;;;;;
460;60;3630;2540;100;29830;;;;;;;
520;30;4780;1420;30;27100;;;;;;;
520;60;2220;1780;250;24570;;;;;;;
440;30;4160;1430;80;29910;;;;;;;
630;50;2870;2400;40;27000;;;;;;;
560;10;6030;3590;50;26910;;;;;;;
580;20;2790;5840;70;28790;;;;;;;
500;20;2090;1340;70;28310;;;;;;;
320;0;1670;1630;70;24380;;;;;;;
420;0;2290;2160;150;27390;;;;;;;
430;30;3140;1470;20;26010;;;;;;;
460;20;3540;1180;0;25730;;;;;;;
520;0;2720;990;100;26990;;;;;;;
340;40;2650;1110;200;26240;;;;;;;
490;30;1920;1450;110;30300;;;;;;;
490;20;2800;1560;40;27850;;;;;;;
370;30;2360;1510;50;27120;;;;;;;
460;40;3290;1570;40;27260;;;;;;;
290;20;3340;1490;50;28390;;;;;;;
500;70;2600;1350;80;25760;;;;;;;
320;20;1870;2030;80;31330;;;;;;;
470;40;2290;1940;40;29020;;;;;;;
330;60;2320;2940;40;35520;;;;;;;
400;60;2140;3040;90;31540;;;;;;;
510;20;2760;2950;90;27230;;;;;;;
470;20;4150;3210;150;28560;;;;;;;
460;10;1580;1300;30;27780;;;;;;;
460;30;2850;960;50;24700;;;;;;;
420;0;1840;1530;30;26120;;;;;;;
350;20;3050;1150;70;28500;;;;;;;
550;0;1240;1170;60;27200;;;;;;;
520;20;880;1570;100;27000;;;;;;;
360;10;1900;1500;40;27130;;;;;;;
580;20;1740;1160;50;26410;;;;;;;
580;10;2040;1430;110;28150;;;;;;;
450;50;1970;1660;40;26540;;;;;;;
480;10;1540;2860;30;25430;;;;;;;
460;20;1720;1430;30;26380;;;;;;;
580;40;1550;1170;150;27790;;;;;;;
380;30;940;970;40;27400;;;;;;;
480;30;1320;1580;20;26400;;;;;;;
430;0;3030;1380;110;26220;;;;;;;
330;40;4680;1450;30;25200;;;;;;;
520;50;4210;1740;50;28350;;;;;;;
710;20;2760;1460;0;25990;;;;;;;
590;10;1180;1440;100;24460;;;;;;;
660;10;780;1380;50;26920;;;;;;;
750;20;2530;1220;40;24490;;;;;;;
420;30;3330;1980;100;27630;;;;;;;
420;0;2060;1300;160;24480;;;;;;;
720;20;2650;1500;80;25290;;;;;;;
1000;40;1280;1320;10;24270;;;;;;;
1000;0;1110;1640;40;25760;;;;;;;
970;20;4020;1500;80;25720;;;;;;;
900;20;2940;1760;80;25220;;;;;;;
970;0;2200;1500;70;22980;;;;;;;
1370;20;2800;1710;40;23160;;;;;;;
980;50;2580;1550;90;24550;;;;;;;
1320;40;1260;1730;20;30760;;;;;;;
890;20;2310;1400;50;33550;;;;;;;
1140;20;2830;1040;10;29110;;;;;;;
870;110;2410;1450;70;29220;;;;;;;
620;40;2310;1380;20;29730;;;;;;;
680;20;2050;1330;100;30850;;;;;;;
880;0;2200;1570;20;29380;;;;;;;
340;0;2160;1680;60;28860;;;;;;;
440;10;2150;1170;70;28040;;;;;;;
570;20;3500;1390;70;29920;;;;;;;
290;30;1660;1800;30;30790;;;;;;;
650;0;3890;1210;30;28590;;;;;;;
630;20;2310;1660;120;29140;;;;;;;
1120;20;2500;1480;30;27090;;;;;;;
1110;30;2880;1350;50;28200;;;;;;;
920;10;1850;1390;90;28490;;;;;;;
1380;20;1810;1370;90;30590;;;;;;;
910;60;2500;1310;80;27660;;;;;;;
830;10;2670;1240;60;25020;;;;;;;
510;20;2530;1140;30;31330;;;;;;;
680;20;2060;1400;110;24470;;;;;;;
410;30;1720;1420;80;26980;;;;;;;
540;30;3230;1470;30;25810;;;;;;;
420;10;1930;1440;80;26110;;;;;;;
420;20;680;1050;50;27910;;;;;;;
440;10;2920;1120;50;28460;;;;;;;
490;0;3880;1280;90;26000;;;;;;;
370;10;7640;1420;110;26590;;;;;;;
540;10;3300;1210;40;29690;;;;;;;
480;10;1970;1910;60;34870;;;;;;;
650;0;2190;1830;110;27860;;;;;;;
