CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
1940;26790;1070;4500;1500;4830;;;;;;;
1860;26260;2020;4390;1870;5120;;;;;;;
1840;28310;1330;8810;2380;4950;;;;;;;
2200;26450;1810;11840;1870;4910;;;;;;;
1920;26750;1300;7830;1890;4910;;;;;;;
1700;26090;2780;5330;1960;4940;;;;;;;
1950;26670;1420;6420;2250;4880;;;;;;;
2410;26450;1710;8870;2040;5040;;;;;;;
2330;26410;1590;5700;1830;5090;;;;;;;
2120;26780;1480;6180;2020;4890;;;;;;;
1990;26340;1540;9140;2250;5020;;;;;;;
2070;26010;1190;6980;2310;5000;;;;;;;
1750;26430;1770;5580;2110;5090;;;;;;;
1660;26400;2570;5010;2470;5080;;;;;;;
2930;26570;1780;13350;1830;5770;;;;;;;
2090;27400;4240;10270;1830;5740;;;;;;;
1710;26420;2390;5070;1590;4910;;;;;;;
2030;27010;1940;7790;2130;4880;;;;;;;
2060;26610;1870;4710;2280;5730;;;;;;;
1790;26990;1700;8160;2200;5330;;;;;;;
1770;26430;1480;11520;1430;5260;;;;;;;
2020;26790;2190;10200;1380;4830;;;;;;;
2310;27660;1740;13020;1790;5160;;;;;;;
1630;27160;2680;9910;1960;4760;;;;;;;
1830;27710;1710;10770;2050;5040;;;;;;;
1590;26240;1730;12410;3210;5400;;;;;;;
1830;26300;1590;13580;1680;5490;;;;;;;
1960;26760;1760;14320;3080;5640;;;;;;;
1800;26350;2100;11920;2420;5660;;;;;;;
1670;26510;1660;10940;2180;5320;;;;;;;
1880;26210;2760;11210;1460;5280;;;;;;;
2450;26730;1780;8950;1230;4900;;;;;;;
2610;26510;1980;3540;1290;5870;;;;;;;
3020;26400;2430;10220;1610;4820;;;;;;;
1720;26620;1590;7360;1210;5090;;;;;;;
1760;26680;2450;4230;1170;4970;;;;;;;
2820;27010;1440;8410;1100;4870;;;;;;;
2530;26460;1150;9750;1390;5130;;;;;;;
2710;26290;1670;12940;1400;5310;;;;;;;
3250;28450;1660;4420;1150;5070;;;;;;;
1800;26460;1780;8330;1250;5510;;;;;;;
2320;26450;1500;5100;1290;4660;;;;;;;
2200;26520;1510;4870;1360;5120;;;;;;;
1570;26640;1140;10560;1500;5340;;;;;;;
1730;26700;2040;10040;1390;5460;;;;;;;
3020;26390;1570;10970;1270;6500;;;;;;;
2990;26570;1360;8390;1320;7150;;;;;;;
2460;26260;1340;6780;1440;5380;;;;;;;
1780;26540;1750;7860;1860;4690;;;;;;;
1390;26530;1520;10440;2780;5010;;;;;;;
2100;26210;1250;11030;1840;5100;;;;;;;
2060;26610;1300;4930;1890;5180;;;;;;;
2130;26350;1160;3940;1920;4930;;;;;;;
1980;26680;1450;3720;1520;4970;;;;;;;
2120;26720;1220;3970;1280;5880;;;;;;;
2300;26350;1180;9390;1390;12590;;;;;;;
1900;26580;1520;5510;1350;5070;;;;;;;
1820;26370;1690;4630;1500;4920;;;;;;;
2120;26490;2060;4330;1170;5520;;;;;;;
2190;26920;1360;9490;1130;5170;;;;;;;
2050;26710;1320;3780;1200;4880;;;;;;;
2290;26950;1100;4750;1290;5270;;;;;;;
2690;26310;1380;10340;1450;4870;;;;;;;
2660;26510;1590;9730;1340;5200;;;;;;;
1830;26680;1240;4750;1160;5030;;;;;;;
2210;26730;1190;4740;1220;4360;;;;;;;
2090;28840;1370;11110;1340;4900;;;;;;;
2060;26310;1630;9740;1450;5290;;;;;;;
2060;27550;2080;5630;1330;4740;;;;;;;
2070;26520;1870;15140;1300;5240;;;;;;;
1940;26620;2390;8650;1880;5830;;;;;;;
1640;26830;2740;41430;1870;5440;;;;;;;
1430;26900;1500;6650;2360;5730;;;;;;;
2140;26440;1330;5240;2090;5060;;;;;;;
1700;26770;2460;5540;1790;5520;;;;;;;
2740;26700;1480;10310;1880;5280;;;;;;;
1680;28400;1450;13740;2190;4870;;;;;;;
2340;26480;1450;12840;2040;5130;;;;;;;
2160;26410;2040;9880;2000;5110;;;;;;;
2430;26690;1760;18280;2020;5520;;;;;;;
1920;27090;1430;7090;2030;5500;;;;;;;
1860;26090;2410;5280;2240;4310;;;;;;;
2070;26270;3090;7430;2420;4480;;;;;;;
1970;27470;1440;10230;1900;5100;;;;;;;
1720;26340;1810;7770;2020;4990;;;;;;;
2310;26210;2110;11630;1900;5130;;;;;;;
1800;26370;1180;6510;1820;5070;;;;;;;
1650;26520;1990;4340;1840;4750;;;;;;;
2020;26400;1550;6050;1900;4770;;;;;;;
1960;26270;1410;9410;1940;4920;;;;;;;
2310;26360;1690;7690;1870;5920;;;;;;;
2300;26510;2010;8220;2020;4290;;;;;;;
1980;26640;2390;10780;2060;4450;;;;;;;
2220;26110;1460;10430;1680;4970;;;;;;;
2100;26640;1750;11070;1400;5080;;;;;;;
2480;26620;1500;13200;1370;4950;;;;;;;
2050;26460;1680;11060;1340;5050;;;;;;;
2090;26090;2340;9230;1820;5040;;;;;;;
2420;26710;1600;14260;1460;4920;;;;;;;
1600;26880;1720;14590;1310;5470;;;;;;;
2090;26540;1460;16850;1430;4920;;;;;;;
1780;26340;2610;10250;1480;5030;;;;;;;
3210;26250;3490;8790;1450;5110;;;;;;;
2020;26610;1380;15460;1480;4620;;;;;;;
2600;26220;1550;17860;1410;5130;;;;;;;
1810;26790;1490;13100;1390;4820;;;;;;;
1940;26420;2120;20430;1420;5220;;;;;;;
2230;26470;1150;7970;1350;5850;;;;;;;
2090;27570;1440;7630;1230;5150;;;;;;;
2140;26620;1080;10390;1410;4530;;;;;;;
2030;29060;4020;7670;1420;4760;;;;;;;
2040;26580;5550;4420;1490;4540;;;;;;;
2240;26970;1480;7620;1400;4630;;;;;;;
2020;28100;5840;4420;1220;4640;;;;;;;
1690;26660;4100;4560;1070;4660;;;;;;;
2390;26540;1820;10160;1110;4890;;;;;;;
2190;26390;1840;5350;1230;4740;;;;;;;
1870;26620;1320;6850;1260;4820;;;;;;;
2320;26700;2220;8910;1290;4760;;;;;;;
2040;26840;1360;14720;1110;4900;;;;;;;
1620;26510;2400;8160;1120;5180;;;;;;;
1750;26230;7040;8500;1490;4510;;;;;;;
2110;26400;5940;10280;1410;4840;;;;;;;
1860;26600;5400;13100;1360;5250;;;;;;;
2190;26330;1390;13740;1280;4920;;;;;;;
2240;27070;1810;13490;1080;4850;;;;;;;
1280;26460;2630;7180;1170;4990;;;;;;;
2080;26950;1800;10750;1170;5010;;;;;;;
1800;26600;1390;6120;1440;4780;;;;;;;
1430;26370;1490;4620;1490;4550;;;;;;;
2030;26910;1800;4910;1480;4930;;;;;;;
1910;26290;1930;4540;1370;4660;;;;;;;
2240;26370;1590;7790;1370;5120;;;;;;;
2180;26610;1570;6890;1240;5050;;;;;;;
1980;26600;2250;5480;1280;5290;;;;;;;
2120;26590;1740;7220;1170;5510;;;;;;;
1830;26490;1610;5590;1150;4720;;;;;;;
1770;26660;2080;5560;1180;4910;;;;;;;
1960;26540;2200;7290;1280;4560;;;;;;;
1820;26900;3050;5970;1210;4870;;;;;;;
2310;26400;1090;10480;1280;4890;;;;;;;
1530;26910;2490;11350;1140;4920;;;;;;;
1930;26240;1980;11360;1090;4760;;;;;;;
1500;26630;2090;15650;1120;5220;;;;;;;
2220;26230;1630;5940;1380;4660;;;;;;;
1710;26540;1490;10150;1420;4800;;;;;;;
1980;26620;1450;8750;1350;4970;;;;;;;
1260;26780;2370;10940;1370;5070;;;;;;;
3880;26570;1610;7620;1290;4860;;;;;;;
1260;26550;2430;6480;1470;5140;;;;;;;
1190;28090;1610;5560;1500;4750;;;;;;;
1940;26490;3010;7990;1470;5100;;;;;;;
2480;26570;1920;5160;1390;5250;;;;;;;
1640;27640;2530;4590;1510;4850;;;;;;;
2080;27500;4370;12590;1430;4670;;;;;;;
1720;26930;4090;6110;1430;5050;;;;;;;
1450;27000;3780;6880;1140;5130;;;;;;;
1870;26340;4350;8450;1180;4780;;;;;;;
1610;26650;3120;7350;1210;4930;;;;;;;
2230;26770;2360;9050;1490;4950;;;;;;;
1900;26350;1770;7500;1440;4780;;;;;;;
7120;26250;1930;6330;1240;4790;;;;;;;
2340;27000;3290;9570;1170;5060;;;;;;;
2480;26330;1370;9160;1240;4740;;;;;;;
1450;26300;2930;10750;1440;5100;;;;;;;
2030;26780;1500;12510;1470;5030;;;;;;;
1860;26570;3250;21290;1230;4770;;;;;;;
1850;26620;1670;12080;1160;5290;;;;;;;
2040;26220;1780;7870;1280;5400;;;;;;;
1810;26980;2790;6380;1650;5060;;;;;;;
2070;26510;1870;10180;1530;4800;;;;;;;
1500;26420;1380;6590;1530;5440;;;;;;;
2100;27230;1400;6660;1540;4550;;;;;;;
2310;26420;6160;5000;1470;5080;;;;;;;
1990;26370;3990;4850;1490;4780;;;;;;;
1920;25930;3230;6120;1540;5090;;;;;;;
2190;26350;4650;4220;1310;4810;;;;;;;
1800;26470;1930;4980;1120;4950;;;;;;;
1610;27210;1420;12230;1110;4920;;;;;;;
2030;26060;1930;11600;1350;5340;;;;;;;
1670;26750;2720;5540;1480;4790;;;;;;;
4500;26620;2640;4670;1500;4980;;;;;;;
2100;26420;3760;5430;1540;5000;;;;;;;
1470;26310;3050;7600;1430;4640;;;;;;;
1980;26580;1910;8980;1430;4750;;;;;;;
1680;26360;1110;12840;1600;4740;;;;;;;
2310;28040;2890;4040;1410;5570;;;;;;;
2270;26470;2370;5360;1170;4840;;;;;;;
2640;26360;1980;25170;1240;4820;;;;;;;
2000;26160;1540;10480;1260;4770;;;;;;;
2700;26170;1510;14290;1230;5320;;;;;;;
1750;26770;1490;14730;1530;4540;;;;;;;
1510;26300;2120;27300;1570;4510;;;;;;;
2690;26150;2310;11150;1600;5040;;;;;;;
2200;27700;1950;11420;1530;4850;;;;;;;
2170;27120;2070;8240;1480;4690;;;;;;;
2090;29180;1440;5400;1650;4700;;;;;;;
2420;29910;1810;14680;1510;5100;;;;;;;
2160;27420;2150;10090;1380;4880;;;;;;;
1830;27890;1910;11300;1380;5010;;;;;;;
1800;26270;2950;17460;1430;4740;;;;;;;
2970;26470;1160;19890;1540;5220;;;;;;;
2310;26500;2380;10860;1450;5000;;;;;;;
2370;26610;1680;10110;1710;5150;;;;;;;
2330;26500;1960;17930;1210;4930;;;;;;;
1910;26440;1870;14150;1240;5190;;;;;;;
2220;26450;1410;13350;1300;4830;;;;;;;
2250;26740;1480;15090;1220;5020;;;;;;;
1470;26530;1650;10460;1370;4890;;;;;;;
2270;26570;1590;17330;1250;4540;;;;;;;
2960;26300;1330;15600;1230;4970;;;;;;;
1390;26630;1830;19170;1490;5150;;;;;;;
2190;26790;1730;14660;1270;5460;;;;;;;
2040;27250;2030;16800;1310;5160;;;;;;;
2000;26620;1610;14890;1380;5120;;;;;;;
1850;26170;2380;8750;1270;4970;;;;;;;
1860;26310;3100;10560;1330;5090;;;;;;;
2080;26410;3020;14540;1340;5010;;;;;;;
2180;26350;1170;10470;1390;5280;;;;;;;
2050;27210;1210;21560;1440;5110;;;;;;;
2470;26770;1400;13110;1510;4980;;;;;;;
1610;26640;2150;11790;1410;4720;;;;;;;
1610;26710;2380;6460;1190;4420;;;;;;;
1740;28320;1960;6200;1420;4640;;;;;;;
1920;26740;1520;10040;1430;4240;;;;;;;
2200;26290;1700;16260;1390;4480;;;;;;;
2140;26090;3860;14030;1370;4590;;;;;;;
2030;26220;1830;12400;1390;4720;;;;;;;
2360;26290;1560;13350;1380;4880;;;;;;;
1930;26510;1880;17960;1390;5030;;;;;;;
2460;26390;1820;13470;1480;4850;;;;;;;
1440;26270;4050;15290;1280;4450;;;;;;;
1800;26540;2440;13270;1620;4860;;;;;;;
2240;26840;2310;14140;1390;5080;;;;;;;
2400;26450;4430;10860;1490;5080;;;;;;;
2280;26820;2120;8530;1450;5380;;;;;;;
1800;26480;2240;7460;1380;4920;;;;;;;
1840;27120;2330;11600;1470;5070;;;;;;;
2690;26930;1380;11290;1380;5080;;;;;;;
3320;27700;1660;7510;1720;5120;;;;;;;
2480;26980;2170;18290;1510;4960;;;;;;;
2560;28380;2640;18280;1370;5620;;;;;;;
