CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
1650;24520;3380;13580;1290;4540;;;;;;;
1510;24680;2530;12620;1220;4520;;;;;;;
2660;24660;1400;8430;1370;4640;;;;;;;
1820;25050;4560;12690;1290;4870;;;;;;;
1670;24750;3000;9170;1420;4940;;;;;;;
1750;25040;2310;10620;1420;4630;;;;;;;
1710;24530;3140;7550;1210;4560;;;;;;;
1650;24540;2960;9500;1240;4460;;;;;;;
1420;24490;3580;12540;1260;4700;;;;;;;
1930;24820;2660;19040;1060;4750;;;;;;;
1860;24630;1170;7910;1440;4360;;;;;;;
1610;24810;1560;11750;1360;4460;;;;;;;
1850;24820;2200;8140;1250;4520;;;;;;;
1610;24910;2200;6840;1380;4570;;;;;;;
2980;24860;2310;7040;1360;4600;;;;;;;
2300;24750;1680;7510;1310;4720;;;;;;;
1390;24670;2090;10810;1280;4500;;;;;;;
2040;24590;5130;18520;1440;5100;;;;;;;
1790;24670;970;9570;1300;4690;;;;;;;
1850;24520;3490;17470;1400;4560;;;;;;;
1470;25830;1640;16750;1520;4600;;;;;;;
1850;25220;3110;10810;1380;4770;;;;;;;
1340;24960;2170;11230;1330;4650;;;;;;;
1860;24840;1310;17990;1290;4300;;;;;;;
1630;25020;3210;15520;1830;4970;;;;;;;
1420;24990;2750;8430;1950;4530;;;;;;;
1800;24710;1700;7160;1980;4660;;;;;;;
2180;24680;2440;15670;1330;4450;;;;;;;
1660;24980;2480;11370;1100;5170;;;;;;;
1510;27010;3680;10920;1150;4840;;;;;;;
1710;24830;5620;13220;1070;4880;;;;;;;
1770;24420;3900;11530;1140;4620;;;;;;;
1710;24630;6020;10320;1040;4570;;;;;;;
1690;24720;3010;8240;1220;4740;;;;;;;
2430;25310;2270;13400;1140;4520;;;;;;;
1680;25310;3100;7910;1240;4910;;;;;;;
2450;25010;1880;18070;1350;4400;;;;;;;
1600;24940;3510;8060;1380;4540;;;;;;;
2040;24510;1780;15090;1690;4660;;;;;;;
1930;25040;3220;7430;1460;5000;;;;;;;
1470;24710;5040;7230;1710;4830;;;;;;;
1740;25000;2040;7220;1330;4530;;;;;;;
1500;24800;3840;5920;1220;4410;;;;;;;
1620;24520;2760;16090;1410;4800;;;;;;;
1470;24650;1800;8730;1370;4630;;;;;;;
1840;25350;2800;8290;1340;5640;;;;;;;
2040;24920;1360;7690;1330;4670;;;;;;;
1690;25060;1720;7190;1170;4520;;;;;;;
1730;24960;4020;12730;1110;4970;;;;;;;
1340;24730;1570;15690;1110;4530;;;;;;;
2340;24810;1010;14330;1130;4330;;;;;;;
2010;25010;4000;12880;1110;4700;;;;;;;
1760;25480;1280;10290;1180;4560;;;;;;;
2160;24920;4760;6080;1300;4840;;;;;;;
2180;24730;2140;5630;1360;4360;;;;;;;
2490;25020;2360;6210;1340;4540;;;;;;;
2070;25090;3420;8110;1330;4930;;;;;;;
2410;24850;2270;11610;1240;4470;;;;;;;
2240;25040;3580;12150;1450;4550;;;;;;;
2710;25060;1990;11480;1420;4650;;;;;;;
1750;24930;4710;9580;1460;4820;;;;;;;
2130;24780;1960;12650;1560;4270;;;;;;;
1960;25030;1740;14660;1070;4860;;;;;;;
1710;24750;1780;12110;1480;4870;;;;;;;
1820;24890;4710;8980;1310;5790;;;;;;;
1570;24940;1120;19410;1550;7020;;;;;;;
1710;25320;3520;20600;1320;5360;;;;;;;
1960;26510;3320;14670;1310;4760;;;;;;;
1700;26630;990;9880;1320;3850;;;;;;;
1720;25710;3660;10560;1330;4550;;;;;;;
2010;24610;2260;15890;1430;4850;;;;;;;
2010;24900;4770;7040;1440;4680;;;;;;;
1720;25090;1690;13920;1220;3990;;;;;;;
1880;24780;2590;10520;1300;4490;;;;;;;
1500;24680;2530;8350;1490;5180;;;;;;;
2020;24820;2390;9810;1200;10560;;;;;;;
1880;25010;3000;14120;1030;5320;;;;;;;
1690;24970;8110;13810;1260;4650;;;;;;;
2080;25270;6990;17970;1190;4740;;;;;;;
1980;25060;5160;16720;1350;4940;;;;;;;
1330;24960;2700;13150;1390;4670;;;;;;;
1420;24820;1910;18220;1380;4920;;;;;;;
2030;24760;3220;10610;1290;5180;;;;;;;
1470;24550;2060;21290;1320;4840;;;;;;;
1730;25030;2030;14020;1410;4400;;;;;;;
1410;24760;3040;10410;1290;4820;;;;;;;
2510;24930;2720;9170;1350;5090;;;;;;;
1960;25440;3950;7570;1300;4630;;;;;;;
1430;24640;2370;13280;1240;4570;;;;;;;
3790;24700;2280;15520;1260;4590;;;;;;;
1690;25470;3060;9490;1400;4600;;;;;;;
1340;24830;1190;16840;1390;4830;;;;;;;
2020;24630;2100;11530;1270;4450;;;;;;;
1700;24440;1910;10500;1440;4690;;;;;;;
1630;24510;3780;15370;1230;4270;;;;;;;
1970;24820;2620;9970;1370;4230;;;;;;;
1750;24930;2340;8670;1420;4710;;;;;;;
1660;24610;2480;9570;1340;5020;;;;;;;
1450;24910;4820;17040;1260;4690;;;;;;;
1680;24860;1980;14150;1330;4690;;;;;;;
2470;25140;2620;11500;1340;4760;;;;;;;
1720;24950;2380;8590;1400;4570;;;;;;;
2740;24980;2250;10620;1260;5330;;;;;;;
2670;24850;3240;6540;1300;4840;;;;;;;
1120;24740;2700;9110;1250;4580;;;;;;;
1480;24540;1970;6260;1300;4920;;;;;;;
1690;24610;2170;7590;1370;4610;;;;;;;
1450;27130;1920;10340;1210;4700;;;;;;;
1820;24850;1900;13860;1260;4800;;;;;;;
1430;24470;1810;10460;1300;4310;;;;;;;
2090;24780;1600;5750;1370;4250;;;;;;;
1930;25030;2900;5980;1380;4400;;;;;;;
2190;24820;1530;14120;1320;4560;;;;;;;
2220;25200;2720;11480;1320;5200;;;;;;;
1890;25820;1500;13590;1300;4700;;;;;;;
1830;24680;2260;6830;1250;4920;;;;;;;
2060;25710;3310;8970;1300;4600;;;;;;;
1810;24550;2770;10860;1350;4520;;;;;;;
1850;25040;2730;8920;1400;4520;;;;;;;
2080;24540;1740;8420;1310;4500;;;;;;;
2060;24720;2010;7640;1330;4390;;;;;;;
2260;24700;1710;9480;1440;4600;;;;;;;
2110;24690;2140;7770;1360;4360;;;;;;;
1680;25000;2120;8260;1260;4650;;;;;;;
1960;25060;1820;17790;1180;4690;;;;;;;
2030;24660;2040;8570;1130;4590;;;;;;;
2150;25030;1400;11580;1070;4460;;;;;;;
1980;24650;1710;9740;1150;4350;;;;;;;
1980;25250;1690;14130;1280;4890;;;;;;;
2310;24770;2360;14170;1270;4990;;;;;;;
1710;24910;1530;19100;1420;4550;;;;;;;
1910;24840;1480;9740;1420;4390;;;;;;;
1710;24720;2090;8250;1040;4680;;;;;;;
2160;24600;2010;5850;1200;4800;;;;;;;
2190;24950;1270;8560;1430;4660;;;;;;;
2400;24750;1130;14610;1270;4030;;;;;;;
1870;24890;1540;15880;1540;3960;;;;;;;
2990;24870;1150;22440;1050;4680;;;;;;;
2140;24740;1060;8450;1040;4610;;;;;;;
1990;24820;2300;13520;1050;4520;;;;;;;
1630;24720;1310;18960;1120;3980;;;;;;;
2120;24880;2030;12520;1320;4510;;;;;;;
2050;24780;1210;4730;1370;4420;;;;;;;
2360;25050;1560;8020;1480;4870;;;;;;;
2590;24870;2440;8020;1090;4270;;;;;;;
1990;24850;1120;8430;1070;4780;;;;;;;
1580;26750;2320;19510;1210;4530;;;;;;;
1830;25780;2500;25690;1360;4830;;;;;;;
1610;24560;3040;11910;1090;4460;;;;;;;
1360;25410;3270;6850;1320;4640;;;;;;;
3400;24640;1580;6840;1050;4390;;;;;;;
1110;24880;2450;5160;1090;4900;;;;;;;
2890;25270;2110;9220;1100;4330;;;;;;;
2380;25180;1840;6430;1190;4660;;;;;;;
1780;24790;1700;6280;1100;4570;;;;;;;
1390;24830;2390;8520;1320;4590;;;;;;;
2830;24890;2610;6590;1070;4550;;;;;;;
1870;24580;1680;9960;1270;5030;;;;;;;
1850;24810;3300;12530;1420;4480;;;;;;;
1570;24820;3770;7020;1310;4430;;;;;;;
1630;26220;4480;12230;1320;4910;;;;;;;
1830;25320;1550;11170;1240;4760;;;;;;;
1680;25070;1720;11580;1260;4710;;;;;;;
1810;24850;3490;6250;1380;4550;;;;;;;
1480;24920;1980;11410;1400;4350;;;;;;;
1350;25250;1710;11550;1420;4670;;;;;;;
1860;24670;2530;11060;1280;4150;;;;;;;
1590;24790;1030;15240;1470;4300;;;;;;;
1800;24850;4970;15610;1220;4280;;;;;;;
1810;24800;2670;13850;1320;4540;;;;;;;
1460;25540;2880;15230;1250;4640;;;;;;;
2060;24850;3390;15770;1270;4900;;;;;;;
