CouchBase,Memcached,Mongo,Orient,Redis,Riak
540,2910,1800,4490,210,28410,
850,2680,1910,3570,180,32740,
820,2700,1350,2500,220,35630,
610,2640,2800,2540,270,27590,
770,2630,1160,2660,200,32680,
640,2630,2120,3170,260,30540,
870,2580,2220,4020,180,33020,
770,2640,1180,3380,340,29070,
510,2550,1550,2680,260,32270,
700,2860,1740,3470,180,29100,
830,2490,3060,2090,230,32240,
570,2710,1330,2360,160,31850,
570,2490,1600,3650,190,32210,
600,2610,1700,3120,210,28750,
720,2530,1080,5820,170,32080,
1000,2520,2680,1820,210,31050,
990,2830,1500,8230,170,32240,
960,2590,2580,4060,140,36510,
1060,2460,2110,3780,160,35770,
990,2610,3090,5000,160,30590,
1130,2420,2660,7600,180,32060,
1250,2610,2140,4790,290,30300,
1030,2550,1190,3730,120,32680,
1010,2600,2830,6090,220,30710,
1080,2570,3590,4130,210,31160,
980,2530,2210,10220,190,34500,
960,2540,1480,4630,150,37740,
1080,3270,2750,9850,240,30330,
1000,2530,1780,3140,170,32370,
1050,2650,2730,4160,210,35730,
710,2720,1400,5070,290,30250,
580,2550,2260,3600,190,29510,
1260,2490,520,4810,180,31290,
500,2610,2360,2730,390,32210,
530,2510,1330,4200,240,33810,
550,2570,2950,3640,250,27560,
470,2580,2270,3920,220,28880,
410,2400,3400,1620,160,27250,
590,2790,660,3910,250,30200,
550,2520,580,3100,170,38480,
800,2530,1340,4860,170,37630,
620,2550,200,4600,200,32460,
690,2510,830,2910,120,29100,
460,2480,820,3500,200,33360,
620,2570,1460,3630,170,34850,
610,2610,1680,2850,150,30130,
490,2670,1000,2350,180,28790,
720,2610,2830,2410,200,31660,
510,2520,1310,9290,190,34570,
470,2490,2530,11120,160,28460,
670,2660,4290,4610,150,32200,
670,2550,1800,2580,120,29260,
620,2550,3070,1780,160,29300,
670,2850,1940,3630,240,35510,
700,2480,1370,3240,180,26830,
670,2510,2980,1860,230,37290,
590,2450,3280,4090,420,28910,
620,2640,10190,2770,240,29320,
600,2460,8570,2090,270,31740,
490,2450,11180,3780,150,26240,
630,2870,9540,5910,230,29470,
470,3090,11650,3220,200,32400,
760,2540,10420,6530,180,29280,
380,2530,9300,2780,160,29230,
460,2410,9370,3010,240,29820,
520,2560,10420,2800,260,31690,
510,2530,7420,4480,240,34250,
510,2570,9210,3050,140,38510,
410,2790,7730,2720,160,27650,
400,2410,8480,3140,170,31960,
660,2420,7230,3890,150,28840,
610,2480,8170,3870,160,28010,
580,2570,6060,3070,160,32470,
560,2450,9130,2600,120,30990,
400,2480,7430,2350,190,28730,
570,2590,8470,2900,110,30300,
940,2690,6810,2820,130,35310,
630,2520,6030,2560,130,36660,
560,2640,5490,2030,120,28280,
500,2490,7340,2090,100,27720,
490,2540,6230,2080,160,30270,
520,2490,5570,2440,180,27630,
460,2590,5980,1940,120,33230,
390,2780,5950,3170,130,29180,
560,2530,5230,1970,150,27480,
560,2590,5520,1780,130,30360,
770,2580,4870,4660,280,26930,
510,2550,5000,2050,160,33500,
590,2620,5970,1900,250,27050,
460,2560,6650,2040,210,33100,
470,2750,6180,1740,250,27810,
580,2470,3440,1780,180,31150,
900,2580,4350,2600,140,29150,
640,2510,4070,2780,150,28990,
550,2640,3720,2900,170,29280,
700,2810,5430,2360,150,28620,
410,2470,3540,2640,170,31140,
550,2620,4530,2910,250,30270,
540,2770,3770,2950,210,25160,
660,2480,3320,2090,170,29240,
470,2550,4730,2410,250,32980,
540,2520,4430,2110,250,33050,
360,2630,3690,2280,220,36470,
720,2710,5220,2340,270,29380,
440,2550,5470,1960,200,29060,
650,2900,3390,2840,140,29420,
500,2490,3550,2420,220,32920,
880,2610,5220,2240,190,26360,
440,2650,2110,2270,180,29940,
460,2460,5100,2740,220,26820,
490,2690,3070,2340,170,33630,
700,2480,4090,2780,230,32810,
550,2580,5140,2550,260,33320,
600,2620,4430,3630,210,28910,
530,2530,5990,2200,260,27550,
400,2520,3220,3330,210,28050,
560,2500,2880,2240,200,32180,
500,2610,4660,3120,180,26370,
520,2460,6910,2050,130,30380,
630,2530,4710,2080,170,28680,
560,2790,6410,2700,130,29040,
660,2510,1380,2690,140,31060,
470,2630,2090,2960,160,26720,
680,2490,1560,4180,220,32260,
550,2620,2540,2530,150,26430,
620,2580,1960,3560,180,27970,
570,2510,3390,2740,150,33680,
550,3040,3570,2310,170,29360,
400,2840,3650,2110,340,29580,
580,2460,2780,2080,190,28950,
620,2550,3480,5060,160,40140,
500,2600,2360,3610,140,28330,
610,2440,2540,2960,180,26060,
700,2560,3300,4020,190,25500,
440,2630,3910,4290,210,27170,
520,2580,880,7340,180,26030,
1130,2510,2040,3460,170,27340,
630,2500,3130,2370,170,27430,
520,2590,2310,2430,200,31300,
470,2470,2140,4190,130,29340,
500,2600,2300,3040,200,33320,
400,2500,2210,3200,230,37860,
760,2720,2080,1750,110,33800,
510,3130,2250,2460,160,30660,
660,2580,2900,2460,210,30320,
610,2490,1880,2390,190,33810,
640,2580,2900,3240,220,30610,
560,2520,2850,2320,200,29430,
620,2470,3030,2710,210,33160,
410,2770,1640,2580,180,32700,
380,2580,3410,2790,150,30840,
470,2460,3590,2060,190,28930,
370,2550,2550,2530,160,29320,
520,2590,2350,2710,150,29700,
460,2430,2020,2960,420,29690,
710,2600,2130,2160,210,34600,
470,2740,2840,2320,190,29000,
580,2540,2310,2110,230,30630,
540,2470,3110,2150,130,27950,
560,2490,1220,1910,180,31850,
580,2600,1460,3290,220,34730,
560,2930,3010,2480,220,29330,
730,2570,1840,2430,250,30780,
1050,2680,1270,2050,230,26740,
1000,2490,720,3130,220,28810,
1930,2690,1970,1590,200,30790,
890,3750,2210,1880,210,31780,
460,3000,2540,3170,290,27220,
570,2460,1150,3330,230,30230,
490,2510,1390,2320,290,28510,
510,2910,1100,2580,160,37490,
1530,2470,970,2430,210,29030,
590,2550,3820,2400,200,32010,
460,2420,1180,2860,180,27950,
490,2490,2040,1880,150,29270,
520,2590,2090,2170,170,30110,
630,2430,2680,2860,190,28420,
360,2740,1740,3230,240,30840,
490,2480,900,2930,240,34660,
780,2650,1620,2860,160,32130,
920,2430,1520,8220,190,28800,
860,2490,1230,3240,210,32510,
970,2660,1770,5910,170,33960,
930,2620,1630,3260,220,28440,
880,2720,450,2470,200,36510,
880,2470,2090,3720,180,29050,
930,2750,1590,2950,190,33600,
2850,2510,2160,1880,200,27980,
980,2460,1430,2190,140,32620,
1010,2540,1840,3570,200,33790,
1080,2850,2220,2520,210,31560,
800,2760,1370,2430,240,30270,
530,2510,2270,2670,190,31150,
460,2530,2290,2720,200,50180,
730,2750,1350,1670,350,34390,
670,2770,2590,1520,290,26160,
570,2520,1450,1580,210,28260,
580,2580,1660,1870,180,29820,
530,2620,1300,1860,200,40210,
540,2580,1630,1270,190,29240,
560,2600,920,2240,160,32280,
590,2450,1000,2430,210,28080,
670,2450,1520,2490,210,30380,
600,2560,2050,3670,220,30770,
500,2520,1730,2310,210,27810,
800,2760,2600,4420,190,32460,
600,2540,1790,2760,240,30650,
520,2640,2470,2890,200,31280,
820,2560,1330,2620,150,28410,
1040,2540,1740,3220,210,28740,
1170,2550,1480,4260,150,33440,
1090,2350,1700,4130,160,25730,
990,2480,1080,4170,200,32770,
1020,2690,2680,4350,180,32150,
1290,2510,1910,3790,250,26510,
1070,2570,2950,3680,220,29240,
950,2410,3880,2990,190,28480,
1040,2610,2050,2710,180,32980,
1040,2650,1150,2500,220,32870,
1020,2460,1770,3590,220,28520,
1250,2970,1980,2860,170,30790,
1410,2510,1130,2510,210,26540,
1090,2460,2020,2330,170,36410,
1140,2530,1150,14690,220,29140,
1010,2540,1840,2300,120,29480,
1160,2580,850,3110,220,28780,
3100,2710,2130,4420,180,29070,
980,2610,1940,4740,190,36250,
1730,3880,700,4290,160,31920,
960,2990,1320,2930,150,27870,
670,2920,210,4970,190,27330,
750,3030,1100,2780,190,33730,
700,2490,600,3270,170,31300,
500,2530,1200,4050,210,25680,
800,2900,1070,3850,140,34420,
640,2570,460,2730,220,27890,
720,2550,840,4580,190,30730,
750,2470,1660,4130,150,28360,
720,2560,1970,4230,190,26740,
560,2450,1810,3040,170,24400,
460,2540,1540,3450,210,29100,
620,2810,1420,3930,200,29360,
600,2540,1100,4110,220,35110,
590,2510,270,5590,170,27170,
700,2690,520,2920,200,26210,
560,3010,730,2820,190,28860,
660,2830,1050,3650,180,30920,
830,2650,1300,2990,240,32140,
570,2600,1450,3080,230,27020,
680,2620,580,4230,200,27950,
600,2500,1300,4120,270,27880,
480,2610,960,3360,300,27140,
1030,2580,1850,3070,180,30930,
530,2450,1470,3810,190,26150,
670,2550,970,4760,240,27660,
780,2950,1260,5660,200,34650,
1120,2420,480,2940,210,34560,
2190,2610,1010,3690,170,33080,
1110,2510,4120,4690,230,34240,
1030,2430,1510,4590,190,31690,
1130,3230,4190,4030,240,32980,
1080,2520,360,2840,180,34790,
1060,2690,700,2800,210,29400,
1190,2720,3550,4630,190,30760,
1090,2540,2420,2760,180,29060,
1050,2610,2170,3320,160,27510,
1130,2510,2940,3440,200,33420,
910,2540,830,2850,250,31030,
1120,2480,950,2540,250,27120,
1010,2730,820,3740,240,32000,
1070,2610,1440,2900,220,30580,
1010,2600,400,5010,230,29050,
940,2420,1510,6350,240,29650,
1040,2600,1090,7710,270,29580,
1140,2470,710,4530,210,27760,
1080,2460,1420,3970,230,27260,
1160,2560,1660,3920,290,31810,
990,2750,790,3160,180,33100,
1000,2490,360,6520,240,29630,
1010,2480,500,6300,180,29760,
1030,2690,570,3180,160,27040,
1050,2550,1110,3080,240,26550,
1130,2460,920,4740,490,27410,
850,2670,1600,4110,160,26290,
800,2710,960,3120,220,26260,
640,2440,1720,3650,150,26970,
580,2500,980,3580,280,28640,
550,2520,200,3420,190,27680,
450,2450,1750,4310,240,37840,
540,2690,810,2430,300,27290,
710,2490,940,3170,210,27210,
860,2470,870,4020,170,25150,
600,2730,400,3320,160,27140,
750,2700,1470,5550,180,26290,
670,2890,990,3960,160,33080,
510,2510,280,2920,190,29700,
710,2500,1910,3770,180,30180,
720,2720,740,3580,270,38170,
720,2480,2810,4200,160,27460,
1160,2860,160,3050,180,31800,
770,2540,1050,4670,160,29610,
740,2480,1940,4440,380,28660,
770,2540,1300,2150,170,29750,
500,2610,230,3180,320,30630,
620,2610,300,3470,290,33910,
580,2390,630,4800,170,31370,
930,2690,270,3580,210,34180,
1290,2570,280,2940,200,33450,
690,2480,1120,4370,170,33680,
640,2500,280,3850,230,36810,
520,2520,210,3480,170,39630,
700,2490,1430,3270,190,33550,
1000,2580,1040,3890,240,33130,
940,2740,1140,3910,150,34890,
1680,2590,650,3720,130,32920,
1080,2490,660,3680,260,33010,
1110,2480,170,4980,220,29810,
970,2570,180,3340,190,31900,
1020,2570,1530,4120,140,31740,
1160,2490,440,3980,200,38080,
990,2820,460,2940,210,36750,
1340,2610,430,5010,240,33330,
1060,2540,540,4680,190,34310,
1010,2520,200,4620,170,30090,
1100,2530,650,3470,290,29940,
1130,2570,200,3140,240,33650,
1240,2560,350,5850,200,34290,
980,2800,540,4420,300,31370,
1060,3110,920,7390,160,36520,
1040,2450,370,5250,210,35820,
1040,2500,550,7790,280,36220,
1060,2590,230,8790,190,30880,
930,2500,550,4300,140,37440,
1070,2910,470,6440,170,27420,
930,2680,740,3240,200,38060,
1170,2900,310,3480,130,31410,
980,2500,1410,5090,130,33430,
1010,2490,1740,3540,170,34310,
1060,2620,190,3290,110,28350,
1080,2500,250,4990,180,38910,
920,2640,1050,2930,190,33200,
1060,2450,1010,3590,100,33910,
1040,2540,740,3130,180,33470,
970,2530,220,4480,160,30960,
1040,2690,810,4660,170,30990,
940,2520,740,4840,180,33140,
990,2450,280,5060,180,29330,
1110,2590,750,3840,190,27160,
950,2500,470,3210,200,29000,
1010,2500,910,5910,180,28280,
1030,2840,460,3190,170,30410,
950,2440,530,2650,220,25830,
990,2420,210,4740,230,27990,
1100,2470,440,3620,180,27730,
1010,2820,520,3390,120,29530,
940,2460,490,2750,200,27330,
710,2510,670,3130,500,30360,
610,2730,610,4680,210,34530,
890,2550,450,2960,220,25900,
1010,2530,1220,6220,210,25640,
1100,2530,1750,6180,200,27390,
1060,2730,360,4300,260,26600,
1080,2730,450,3060,220,27060,
970,2470,350,5160,140,23670,
1100,2520,750,3270,240,28600,
1140,2600,230,2460,230,34660,
1040,2590,710,2640,180,26190,
970,2440,260,5360,300,29200,
1170,2500,610,3020,230,37190,
1100,2670,860,3020,210,28010,
970,2410,300,2950,180,28670,
1050,2720,590,3200,160,34180,
930,2640,370,3380,240,30570,
1140,2590,480,3190,190,30720,
1200,2480,820,2000,170,29180,
1060,2500,390,3350,210,30610,
1000,2620,620,3120,210,31890,
1050,2530,320,1810,230,29750,
1030,2470,530,4070,270,28050,
1020,2720,300,3630,190,28900,
1210,2530,540,4300,170,25260,
1060,2620,620,3210,310,29770,
1110,2460,710,3180,220,24060,
870,2570,1190,4630,170,27520,
1080,2500,220,4650,380,30150,
960,2550,1330,3330,160,29250,
960,2730,210,3510,190,35970,
950,2600,710,5750,180,29040,
1010,2590,870,8710,220,29230,
920,2480,490,4020,260,29950,
1190,2560,1080,7490,180,29530,
1280,2450,820,4190,200,28670,
1000,2520,280,3320,280,27900,
930,2550,480,4690,150,26220,
950,2640,310,4370,170,28450,
1220,3130,780,4300,210,26150,
1070,2500,1530,5060,170,28740,
1030,2470,410,3680,160,33210,
930,2650,790,2680,260,24500,
1060,2600,380,3180,160,25770,
970,2480,870,2080,170,23220,
1040,2770,530,2830,180,25810,
1560,2570,2240,2860,170,28060,
1030,2430,230,5230,220,25170,
1100,2490,1290,3700,210,27530,
1070,2440,240,3180,270,27210,
1080,2610,500,3170,190,27410,
780,2500,160,4920,200,33550,
440,2760,450,6860,200,30470,
890,2560,690,5540,240,32000,
560,2550,200,4180,250,30500,
790,2530,190,6940,190,35630,
580,2650,560,4830,230,26260,
560,2490,510,7890,180,29130,
770,2500,810,4920,140,27850,
560,2650,510,3350,240,28740,
820,2600,300,3560,230,31700,
930,2530,440,2120,180,33470,
710,2540,540,3430,280,28830,
770,2690,910,4080,240,27070,
1000,2540,1600,6630,150,36770,
590,2450,570,5930,240,29900,
770,2870,280,4080,150,27200,
670,2520,300,6170,150,27610,
570,2500,460,3830,200,28350,
690,2440,530,2260,200,26200,
670,2740,350,3590,210,25440,
730,2520,880,3480,170,30100,
700,2440,280,2360,200,24810,
750,2680,900,1190,190,27640,
1460,3380,270,3150,170,30190,
840,2610,1040,4250,290,25620,
710,2550,310,3890,150,30230,
850,2500,580,2450,190,26770,
700,2550,630,3470,140,27530,
650,2580,250,4040,190,25320,
740,2580,220,2950,190,27170,
770,2730,780,2640,140,28530,
1170,2610,470,2480,240,32960,
1080,2700,1800,2700,170,25950,
1070,2480,1860,2960,120,28750,
940,2580,500,2530,210,30200,
470,2500,530,2130,200,29630,
1230,2540,420,5790,160,24370,
470,2810,220,3590,300,24600,
780,2640,1070,2280,210,27740,
660,2480,310,4350,170,23950,
770,2560,290,3260,180,28520,
740,2510,820,2290,240,32860,
980,2460,290,2690,160,28390,
680,2560,290,4860,290,25060,
490,2460,830,4630,180,27530,
1270,2720,280,4430,170,26470,
1130,2480,320,1790,230,23290,
1040,2470,320,3220,210,28420,
1250,2640,240,2550,190,30850,
500,2500,330,2710,250,25790,
830,2470,940,3770,170,26170,
1180,2590,640,3150,280,25220,
1060,2770,770,2530,140,25140,
1170,2470,800,2660,180,25010,
1290,2560,350,3160,210,28240,
960,2570,240,4440,170,27200,
1030,2770,450,3800,130,27280,
1200,2930,710,3360,210,25080,
810,2560,280,1860,400,28640,
800,2660,640,2470,120,31150,
1020,2640,520,2950,320,27320,
630,2580,480,1680,260,25110,
450,2570,440,4230,240,28720,
600,2410,350,3090,200,30950,
690,2500,870,4130,330,24100,
1590,2510,950,3780,220,23280,
870,2460,1640,4270,150,25660,
940,2820,700,1980,160,27590,
790,2470,980,2920,210,22440,
1030,2540,960,3490,130,26100,
960,2520,590,3480,160,26710,
940,2450,810,3810,260,28980,
1030,2660,280,3730,150,25820,
910,2520,500,6320,200,26740,
940,3180,870,4610,270,27290,
1170,2560,820,6350,460,25620,
920,2920,480,4720,740,28300,
930,3220,810,4080,680,26110,
840,3890,320,3250,800,23650,
970,2590,1120,3260,560,26400,
1050,2680,1290,2050,690,27850,
900,2690,810,3400,920,22830,
960,2480,860,4630,690,21670,
1200,2560,310,2030,710,19840,
1220,2560,1690,3890,800,25680,
950,2640,970,2670,680,25810,
1420,2540,700,2070,810,31520,
1240,2760,510,2390,470,28760,
920,2630,450,2430,160,27450,
1230,2790,750,3420,130,25040,
570,2880,190,1640,190,29800,
860,2500,420,3310,110,31530,
810,2610,500,7080,250,32310,
660,2510,200,5060,170,28330,
540,2820,290,3710,260,27040,
1060,2590,240,5440,400,29720,
690,2550,1070,5310,210,29860,
520,2580,900,7970,230,29340,
620,2580,530,5380,210,25840,
550,2480,390,6090,170,27100,
930,2620,270,5310,200,25090,
620,2580,770,4410,220,28420,
550,2610,1260,9920,210,27900,
360,2460,270,4900,220,28350,
610,2530,810,6340,260,27520,
680,2570,890,5970,260,27670,
570,2440,410,4490,190,28800,
730,2570,170,5780,180,26700,
680,2570,430,4410,220,25590,
620,2740,560,8050,180,28550,
570,2510,710,5690,150,29300,
730,2550,1110,6370,190,29410,
680,2600,280,3240,210,32480,
790,2570,1150,5000,170,25250,
760,2600,1180,6610,170,25820,
620,2510,670,4190,200,25170,
700,2680,1130,3960,160,25240,
1130,2840,800,6720,170,26010,
500,2650,460,4260,150,23180,
640,2530,120,5040,180,28020,
570,2700,630,4110,190,30940,
620,2610,210,5600,170,37800,
560,3000,470,4200,210,34790,
610,2950,490,3570,130,23420,
580,2640,1050,3250,130,24920,
590,2550,180,4570,150,28190,
640,2600,540,8310,180,29070,
490,2640,210,7360,150,30390,
460,2550,700,6820,220,34060,
600,2570,730,3280,210,27900,
740,2750,1680,3970,220,27780,
560,2630,2010,4430,170,37390,
600,2500,1670,4970,180,26180,
710,2510,1690,6010,190,27490,
550,2540,1850,4010,210,26710,
650,2480,3160,5500,330,28550,
460,2480,580,6020,200,24700,
560,2870,1110,3150,200,27030,
520,2520,340,4790,210,36750,
890,2490,310,5010,190,29020,
940,2600,1180,5690,210,27220,
1050,2610,190,8180,190,28560,
870,2510,520,4980,210,32880,
990,2630,500,6380,160,29600,
1050,2750,490,5950,150,31020,
970,2570,690,4720,210,27450,
1000,2470,820,3290,190,26490,
560,2590,670,5540,250,26000,
710,2600,640,3640,180,28330,
560,2490,500,3880,260,27980,
570,2610,670,5250,260,24200,
530,2580,270,3810,200,35960,
530,2560,580,3050,160,29870,
480,2540,1370,3050,250,31790,
520,2590,620,6800,170,29060,
500,2490,400,5090,170,26680,
600,3120,500,5850,320,23970,
610,2690,560,5180,220,26570,
660,2630,980,3880,150,25940,
650,2740,240,4620,390,27990,
450,2690,520,5350,220,22750,
770,2540,620,6010,330,25790,
660,2660,720,4920,280,21480,
520,2490,200,4790,170,26640,
790,2440,550,6060,240,25060,
720,2580,250,5860,180,25600,
770,2740,410,7020,240,31320,
370,2580,750,10150,420,28300,
