CouchBase,Memcached,Mongo,Orient,Redis,Riak
940,2530,3110,5840,170,22610,
940,2490,1370,6750,130,28020,
840,2650,2730,4510,170,22990,
820,2500,1890,3850,180,27570,
950,2550,1960,4890,160,22150,
860,2510,2320,5700,160,26050,
900,2730,1540,3050,180,22290,
1030,2480,1100,4090,160,24400,
900,2700,2600,2620,250,24700,
1020,2490,2850,5000,140,21110,
810,2550,2620,4130,190,25910,
980,2460,2520,2280,160,21930,
900,2520,3680,3970,260,23910,
970,2720,3530,3030,180,21300,
900,2530,2060,4860,270,23430,
920,2520,1460,3690,220,23860,
910,2480,3410,5000,180,24890,
870,2580,2080,3160,220,25620,
920,3140,2610,4540,230,22740,
950,2530,2120,4090,240,23860,
980,2640,2220,4450,150,30330,
960,2510,2110,5840,150,21830,
920,2610,3360,4410,150,23540,
980,2460,2220,3640,180,26160,
990,2670,2790,2960,150,22860,
840,2470,1010,4180,280,21630,
970,2570,2050,3390,220,20510,
880,2810,2120,3700,200,19920,
880,2750,3570,4460,220,25800,
950,2470,2560,4220,200,27330,
1000,2480,1690,4050,150,25660,
910,2840,520,3670,190,24280,
870,2500,3030,2530,270,24360,
890,2480,1280,5970,170,31600,
960,2890,2830,2540,150,33350,
1000,2680,2750,2480,230,25590,
950,2460,2100,2610,200,27580,
890,2600,2560,3360,180,22200,
970,2460,1550,2750,200,22760,
890,2470,1750,4880,260,30700,
900,2560,1390,4850,230,23840,
950,2600,3520,4450,220,22890,
930,2610,2330,2820,340,25330,
1110,2590,2590,3640,150,25190,
930,2650,1420,1990,150,25020,
870,2450,2410,4910,320,22790,
840,2640,2450,4680,200,34830,
990,2540,3560,3610,270,31520,
880,2550,2670,2480,210,25740,
820,2650,1010,4290,160,20580,
950,2550,2370,3610,170,22850,
910,2720,2810,3660,130,24980,
900,2920,3140,3110,150,24640,
880,2540,2320,3330,220,21510,
950,2590,1260,3270,200,22030,
870,2520,1840,3710,170,22930,
910,2700,1450,2340,130,22950,
980,2500,790,2700,150,24710,
970,2620,2390,3360,160,26620,
980,2630,1460,4300,180,23700,
860,2560,480,2110,200,27160,
970,2650,4410,4510,130,26930,
890,2560,1980,2370,220,24480,
890,2660,1710,3600,160,25740,
980,2460,1690,3800,150,24020,
930,2700,2840,4310,200,22840,
920,2520,1530,2940,140,22750,
820,2610,1750,4120,150,20760,
860,2480,3020,8060,210,21910,
900,2520,1820,6000,120,23230,
870,2510,2520,6490,130,22320,
940,2770,1070,4220,200,23010,
990,2730,2130,5170,200,22520,
690,2520,2960,3820,130,27470,
580,2620,2450,4680,150,20230,
570,2540,1950,3310,190,23020,
700,2560,2970,2960,190,23280,
730,2730,3220,3270,250,23030,
510,2630,2100,2750,200,24310,
600,2540,350,3800,380,24500,
590,2610,1760,3720,170,31800,
610,2590,820,4800,140,33310,
520,2520,1240,5120,200,30830,
670,2610,2100,3200,130,25810,
640,3040,1350,4450,170,27330,
550,2960,2040,5120,130,28670,
630,2520,1970,5970,240,24040,
530,2510,1940,4960,240,27750,
640,2660,1490,3130,190,26850,
440,2480,840,2930,220,26130,
560,2590,1570,3060,140,23910,
450,2780,980,4950,230,24900,
590,2560,1430,4310,420,28340,
580,2580,3190,3520,160,26690,
690,2580,3050,4430,170,28900,
510,2600,1450,3840,140,23570,
480,2550,450,1740,250,23070,
600,2640,2490,2630,290,26010,
700,2550,2060,3740,240,26900,
480,2810,1980,1640,190,26960,
480,2470,1640,2700,230,24910,
490,2640,9980,2980,200,25000,
530,2510,8540,4110,270,24160,
490,2730,7780,3620,170,28210,
400,2520,12630,2940,150,29510,
450,2590,7590,4930,230,22890,
610,2930,14430,3280,200,27010,
570,2610,13120,2800,180,24960,
490,2500,10970,3850,220,26490,
690,2550,11920,3980,160,26840,
820,2720,10430,5250,160,24760,
750,2540,8550,4230,180,22680,
510,2680,6550,4180,150,23670,
500,2750,7260,5340,180,28510,
480,2580,9160,3600,170,25670,
490,2660,8260,3310,190,32170,
520,2630,7420,5200,160,27540,
560,2630,6860,5690,290,24650,
530,3070,6700,3240,140,24700,
450,2610,7050,4490,250,26200,
420,2660,8100,11080,170,31880,
560,2990,7180,3680,190,30490,
640,3790,6410,3600,220,30750,
590,2450,6790,5990,210,35020,
750,2630,5410,4960,230,26310,
500,2610,7300,3540,220,26560,
740,2900,5320,4400,200,24860,
470,2530,5860,4860,180,24910,
740,2540,4330,6540,200,23490,
440,2710,5480,5480,290,20970,
660,2520,4710,7110,200,23110,
530,2580,4770,6980,290,24570,
560,2490,4070,5750,160,33040,
790,2860,4290,8660,250,25410,
570,2540,4540,5770,200,28120,
630,2630,5170,5780,170,24040,
510,2630,6010,4490,190,27020,
580,2540,6730,5360,140,31220,
740,2640,5130,5470,190,21150,
670,2560,4450,4730,180,27370,
480,2580,4950,2830,230,22390,
590,2810,5940,5290,160,20880,
